Instruction,Input,Output,Differentiation
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""What is applied-to-leased-ratio?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""What is applied-to-leased-ratio?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-metric"",
  ""information_requested"": [
    ""simple-explanation"",
    ""simple-example""
  ]
}","property level, simple explanation and example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""Give an example of applied-to-leased-ratio?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""Give an example of applied-to-leased-ratio?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-metric"",
  ""information_requested"": [
    ""simple-example""
  ]
}","property level, simple example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""How do you calculate applied-to-leased-ratio?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""How do you calculate applied-to-leased-ratio?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-metric"",
  ""information_requested"": [
     ""calculation-explanation"",
     ""calculation-example""  ]
}","property level, calculation explanation and calculation example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""Give me a sample calculation for applied-to-leased-ratio"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""Give me a sample calculation for applied-to-leased-ratio"",
  ""metric_name_requested"": ""applied-to-leased-ratio-metric"",
  ""information_requested"": [
    ""calculation-example""
  ]
}","property level, calculation example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""Why is applied-to-leased-ratio important?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""Why is applied-to-leased-ratio important?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-metric"",
  ""information_requested"": [
    ""why-is-it-important""
  ]
}","property level, why is it important"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""What is the benchmark for applied-to-leased-ratio?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""What is the benchmark for applied-to-leased-ratio?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-benchmark-pmc"",
  ""information_requested"": [
    ""simple-explanation"",
    ""simple-example""
  ]
}","pmc level, simple explanation and example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""Give an example of the benchmark for applied-to-leased-ratio?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""Give an example of the benchmark for applied-to-leased-ratio?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-benchmark-pmc"",
  ""information_requested"": [
    ""simple-example""
  ]
}","pmc level, simple example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""How do you calculate the benchmark for applied-to-leased-ratio?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""How do you calculate the benchmark for applied-to-leased-ratio?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-benchmark-pmc"",
  ""information_requested"": [
     ""calculation-explanation"",
     ""calculation-example""  ]
}","pmc level, calculation explanation and calculation example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""Give me a sample calculation of the benchmark for applied-to-leased-ratio"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""Give me a sample calculation of the benchmark for applied-to-leased-ratio"",
  ""metric_name_requested"": ""applied-to-leased-ratio-benchmark-pmc"",
  ""information_requested"": [
    ""calculation-example""
  ]
}","pmc level, calculation example"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{
  ""question"": ""Why is the benchmark for applied-to-leased-ratio important?"",
  ""metric_name_options"": [
    ""applied-to-leased-ratio-benchmark-multifamily"",
    ""applied-to-leased-ratio-benchmark-pmc"",
    ""applied-to-leased-ratio-metric"",
    ""toured-to-applied-ratio-benchmark-multifamily"",
    ""toured-to-applied-ratio-benchmark-pmc"",
    ""toured-to-applied-ratio-metric"",
    ""lead-to-toured-ratio-benchmark-multifamily"",
    ""lead-to-toured-ratio-benchmark-pmc"",
    ""lead-to-toured-ratio-metric"",
    ""property_management_company-pmc"",
    ""property_management_company-dimension"",
    ""property_name-dimension"",
    ""all-metrics"",
    ""date-range-dimension"",
    ""date-range-pmc"",
    ""date-range-multifamily"",
    ""all-dimensions"",
    ""metric-types-all-durations"",
    ""metric-types-all-ratios"",
    ""crstal-milestones"",
    ""conversion-rate-metadata"",
    ""conversion-velocity-metadata"",
    ""conversion-performance-reports-metadata"",
    ""applied-to-leased-duration-benchmark-multifamily"",
    ""applied-to-leased-duration-benchmark-pmc"",
    ""applied-to-leased-duration-metric"",
    ""toured-to-applied-duration-benchmark-multifamily"",
    ""toured-to-applied-duration-benchmark-pmc"",
    ""toured-to-applied-duration-metric"",
    ""lead-to-toured-duration-benchmark-multifamily"",
    ""lead-to-toured-duration-benchmark-pmc"",
    ""lead-to-toured-duration-metric"",
    ""date-range-dimension"",
    ""date-range-dimension"",
    ""date-range-dimension"",
  ],
  ""information_need_options"": [
    ""simple-explanation"",
    ""simple-example"",
    ""why-is-it-important"",
    ""calculation-explanation"",
    ""calculation-example""
  ]
}","{
  ""question"": ""Why is the benchmark for applied-to-leased-ratio important?"",
  ""metric_name_requested"": ""applied-to-leased-ratio-benchmark-pmc"",
  ""information_requested"": [
    ""why-is-it-important""
  ]
}","pmc level, why is it important"
