instruction,input,output
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'What is the current multifamily benchmark for Applied to Leased Duration?', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'What is the current multifamily benchmark for Applied to Leased Duration?', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'Give me the Applied to Leased Duration for multifamily benchmark.', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'Give me the Applied to Leased Duration for multifamily benchmark.', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'Can you tell me the Applied to Leased Duration at multifamily level?', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'Can you tell me the Applied to Leased Duration at multifamily level?', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'What is the Applied to Leased Duration for my portfolio?', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'What is the Applied to Leased Duration for my portfolio?', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'Give me the Applied to Leased Duration for my community.', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'Give me the Applied to Leased Duration for my community.', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'Can you tell me the Applied to Leased Duration for my organization?', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'Can you tell me the Applied to Leased Duration for my organization?', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'What is the Applied to Leased Duration for my property?', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'What is the Applied to Leased Duration for my property?', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'Give me the Applied to Leased Duration for my property.', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'Give me the Applied to Leased Duration for my property.', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'Can you tell me the Applied to Leased Duration for my property?', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'Can you tell me the Applied to Leased Duration for my property?', 'Pivot Option Selected': 'conversionVelocity'}"
"Given the Question, select a Pivot Option Name from the list of Pivot Option Names. If you do not find the option in this list, say I do not know.","{'Question': 'What is the current multifamily benchmark for Applied to Leased Ratio?', 'Pivot Options': {'Name': ['conversionRatio', 'conversionVelocity', 'classicAttribution'], 'Pivot Selection Criteria': ['when ratio between values is dicussed', 'when duration between values is dicussed', ""when it's neither conversionRatio nor classicAttribution""]}}","{'Question': 'What is the current multifamily benchmark for Applied to Leased Ratio?', 'Pivot Option Selected': 'conversionRatio'}"
