App,Report Title,Tool,MetaData.Column.Name,Metric,Dataset Variant,Instruction,Input,Output
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,A2L %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,A2L Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,Applied to Leased %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,What does this metric represent?,Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,What does this metric represent?,A2L %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,What does this metric represent?,A2L Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,What does this metric represent?,Applied to Leased %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Describe what this metric is,Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Describe what this metric is,A2L %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Describe what this metric is,A2L Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Describe what this metric is,Applied to Leased %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,State the meaning of this metric,Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,State the meaning of this metric,A2L %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,State the meaning of this metric,A2L Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,State the meaning of this metric,Applied to Leased %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Explain the concept of this metric,Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Explain the concept of this metric,A2L %,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,Clean,Explain the concept of this metric,A2L Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
