instruction,input,output
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'What is the current multifamily benchmark for Applied to Leased Duration?', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'What is the current multifamily benchmark for Applied to Leased Duration?', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'Give me the Applied to Leased Duration for multifamily benchmark.', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'Give me the Applied to Leased Duration for multifamily benchmark.', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'Can you tell me the Applied to Leased Duration at multifamily level?', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'Can you tell me the Applied to Leased Duration at multifamily level?', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'What is the Applied to Leased Duration for my portfolio?', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'What is the Applied to Leased Duration for my portfolio?', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'Give me the Applied to Leased Duration for my community.', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'Give me the Applied to Leased Duration for my community.', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'Can you tell me the Applied to Leased Duration for my organization?', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'Can you tell me the Applied to Leased Duration for my organization?', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'What is the Applied to Leased Duration for my property?', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'What is the Applied to Leased Duration for my property?', 'Metric Category Selected': 'property-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'Give me the Applied to Leased Duration for my property.', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'Give me the Applied to Leased Duration for my property.', 'Metric Category Selected': 'property-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'Can you tell me the Applied to Leased Duration for my property?', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'Can you tell me the Applied to Leased Duration for my property?', 'Metric Category Selected': 'property-applied-to-leased-duration'}"
"Given the Question, select from the list of Metric Category Options. If you do not find the option in this list, say I do not know.","{'Question': 'What is the current multifamily benchmark for Applied to Leased Ratio?', 'Metric Category Options': ['property-lead-to-toured-ratio', 'pmc-benchmark-for-lead-to-toured-ratio', 'multifamily-benchmark-for-lead-to-toured-ratio', 'property-lead-to-toured-duration', 'pmc-benchmark-for-lead-to-toured-duration', 'multifamily-benchmark-for-lead-to-toured-duration', 'property-toured-to-applied-ratio', 'pmc-benchmark-for-toured-to-applied-ratio', 'multifamily-benchmark-for-toured-to-applied-ratio', 'property-toured-to-applied-duration', 'pmc-benchmark-for-toured-to-applied-duration', 'multifamily-benchmark-for-toured-to-applied-duration', 'property-applied-to-leased-ratio', 'pmc-benchmark-for-applied-to-leased-ratio', 'multifamily-benchmark-for-applied-to-leased-ratio', 'property-applied-to-leased-duration', 'pmc-benchmark-for-applied-to-leased-duration', 'multifamily-benchmark-for-applied-to-leased-duration']}","{'Question': 'What is the current multifamily benchmark for Applied to Leased Ratio?', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-ratio'}"
