ID,MetaData.Column.Name,Metrics,DataSet_Variant,Instruction,Input,Output
18,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,How do you define Applied to Leased Ratio?,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,How do you define A2L %?,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,How do you define A2L Ratio?,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede,Applied to Leased Ratio,Clean,How do you define this metric?,How do you define Applied to Leased %?,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede,Applied to Leased Ratio,Clean,What does this metric represent?,What does Applied to Leased Ratio represent?,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede,Applied to Leased Ratio,Clean,Describe what this metric is,Describe what Applied to Leased Ratio is,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede,Applied to Leased Ratio,Clean,State the meaning of this metric,State the meaning of Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede,Applied to Leased Ratio,Clean,Explain the concept of this metric,Explain the concept of Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
18,Lede.Example,Applied to Leased Ratio,Clean,Provide an example of this metric,Provide an example of Applied to Leased Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
18,Lede.Example,Applied to Leased Ratio,Clean,Provide an example of this metric,Provide an example of A2L %,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
