Version,Dataset Identifier,Timestamp,instruction,input,output
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'How do you define the benchmark of Applied to Leased Duration for multifamily?', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'What does the benchmark of Applied to Leased Duration represent for this industry.', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Describe what the benchmark of Applied to Leased Duration is for multi-family industry?', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'What is the multifamily benchmark for Applied to Leased Duration', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'How do you define the benchmark of A2L Duration for multifamily?', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'What does the benchmark of A2L Duration represent for this industry.', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Describe what the benchmark of A2L Duration is for multi-family industry?', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'What is the multifamily benchmark for A2L Duration', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Provide an example of the benchmark for Applied to Leased Duration in this industry', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
v2,ConversionAnalysis-Pivot-Clean+Aliases,2023-10-18 09:25:37,"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'How can the benchmark for Applied to Leased Duration be exemplified in multifamily?', 'pivot-options': [{'pivot-criteria': 'select this option if a ratio or percentage is asked', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'select this option if a duration is asked', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'}
