instruction,input,output,metric,hierarchy,metadata_column_name
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'What is the current multifamily benchmark for Applied to Leased Duration?', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Lede + Lede.Example
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Give me the Applied to Leased Duration for multifamily benchmark.', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Lede + Lede.Example
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Can you tell me the Applied to Leased Duration at multifamily level?', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Lede + Lede.Example
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Provide an example of the benchmark for Applied to Leased Duration in this industry', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Lede.Example
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'How can the benchmark for Applied to Leased Duration be exemplified in multifamily?', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Lede.Example
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Illustrate the benchmark for Applied to Leased Duration in multifamily industry', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Lede.Example
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Why is the benchmark for Applied to Leased Duration important in multifamily?', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Why it matters?
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'How is the benchmark for Applied to Leased Duration applied in this industry from a marketing standpoint?', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Why it matters?
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Why do we need to measure the benchmark for Applied to Leased Duration in multifamily industry?', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Why it matters?
"You will receive a ""question"" and ""pivot-options"" as your json input.
Your task is to select the ""pivot-option"" whose ""pivot-criteria"" best matches the question.
Please respond with the ""pivot-name"" that corresponds to the matched ""pivot-criteria""
Do not give an explanation.","{'question': 'Elaborate on the benchmark for Applied to Leased Duration in this industry', 'pivot-options': [{'pivot-criteria': 'If a ratio or percentage is asked, select ""conversionRatio"" as the ""pivot-name""', 'pivot-name': 'conversionRatio'}, {'pivot-criteria': 'If a duration is asked, select ""conversionVelocity"" as the ""pivot-name""', 'pivot-name': 'conversionVelocity'}]}",{'pivot': 'conversionVelocity'},Applied to Leased Duration,Multifamily Level,Godeeper + Godeeper.Example
