instruction,input,output
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do you define the benchmark for Applied to Leased Ratio in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do you define the benchmark for Applied to Leased Ratio in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What does the benchmark for Applied to Leased Ratio represent in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What does the benchmark for Applied to Leased Ratio represent in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Describe what the benchmark for Applied to Leased Ratio in this industry is', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Describe what the benchmark for Applied to Leased Ratio in this industry is', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'State the meaning of the benchmark for Applied to Leased Ratio in the multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'State the meaning of the benchmark for Applied to Leased Ratio in the multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the benchmark for Applied to Leased Ratio in multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the benchmark for Applied to Leased Ratio in multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'How do you define the benchmark for A2L % in this industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'How do you define the benchmark for A2L % in this industry?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What does the benchmark for A2L % represent in multifamily?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What does the benchmark for A2L % represent in multifamily?', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'Describe what the benchmark for A2L % in this industry is', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'Describe what the benchmark for A2L % in this industry is', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'State the meaning of the benchmark for A2L % in the multifamily industry', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'State the meaning of the benchmark for A2L % in the multifamily industry', 'pivotCategoryRequested': 'conversionRatio'}"
"Given the question, pick the Pivot Category from the list of options. If you do not find the option in this list, say I do not know.","{'question': 'What is the benchmark for A2L % in multifamily industry?', 'pivotCategory': ['conversionRatio', 'conversionVelocity', 'classicAttribution']}","{'question': 'What is the benchmark for A2L % in multifamily industry?', 'pivotCategoryRequested': 'conversionRatio'}"
