App,Report Title,Tool,MetaData.Column.Name,Metric,Output
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,"A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily.  

Performance of your PMC is satisfactory if it lies within this range."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,"For example, let’s say the Multifamily benchmark for applied to leased conversion rate lies between 45.0% to 55.0%.

Now, Applied to Leased ratio of:
- 50.0% is satisfactory for your PMC. 
- 60.0% exceeds expectations.
- 40.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,"It allows the PMC to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - The range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Applied to Leased Ratio,"For example:
- There are 8 PMCs onboarded with Hyly (PMC1 PMC2, PMC3, PMC4, PMC5, PMC6, PMC7, and PMC8) with average conversion rates of 20.0%,25.0%,30.0%,35.0%, 40.0%,45.0%,50.0%, and 55.0% respectively for the month of January.
- The 25th percentile value for this property distribution is 25.0%.
- The 75th percentile value is 45.0%.
- The benchmark is 25.0% to 45.0%.
- The performance of PMC2, PMC3, PMC4, PMC5 and PMC6 are satisfactory as they lie within the range.
- Performance of PMC1 is not satisfactory (20%<benchmark range)
- PMC7 and PMC8 are excelling. (50%, 55%>benchmark range) "
ChatCDP,Conversion Analytics,Metadata,Lede,Applied to Leased Ratio,"A yardstick to evaluate the performance of a property relative to your Property Management Company (PMC).  

Performance of properties lying within this range is satisfactory for your PMC."
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Applied to Leased Ratio,"For example, let’s say the PMC benchmark applied to leased conversion rate lies between 35.0% to 45.0%.

Now, Applied to Leased ratio of:
- 40.0% is satisfactory for your property.
- 50.0% exceeds expectations.
- 30.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Applied to Leased Ratio,"It allows the property to:
- Identify areas of improvement.
- Assess the quality of applicants.
- Assess the quality of the screening process.
- Gain insights into best practices.
"
ChatCDP,Conversion Analytics,Metadata,Godeeper,Applied to Leased Ratio,"We calculate this as follows:
- Calculate the average conversion rate for all properties within a PMC for a given time range.
- Calculate the 25th and 75th percentile values from this conversion rate distribution.
- The range between the 25th and 75th percentile defines the Benchmark for the PMC.  "
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Applied to Leased Ratio,"For example:
- There are 8 properties in a PMC (Pr1 Pr2, Pr3, Pr4, Pr5, Pr6, Pr7, and Pr8) with average conversion rates of 20.0%,25.0%,30.0%,35.0%, 40.0%,45.0%,50.0%, and 55.0% respectively for the month of January.
- The 25th percentile value for this property distribution is 25.0%.
- The 75th percentile value is 50.0%.
- The benchmark is 15.0% to 55.0%.
- The performance of Pr2, Pr3, Pr4, Pr5 and Pr6 are satisfactory as they lie within the range.
- Performance of Pr1 is not satisfactory (20%<benchmark range)
- Pr7 and Pr8 are excelling. (50%, 55%>benchmark range) "
ChatCDP,Conversion Analytics,Metadata,Lede,Toured to Applied Ratio,A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily. Performance of your PMC is satisfactory if it lies within this range.
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Toured to Applied Ratio,"For example, let’s say the Multifamily benchmark for toured to applied conversion rate lies between 15.0% to 25.0%. Now Toured to Applied ratio of: - 20.0% is satisfactory for your PMC. - 30.0% exceeds expectations. - 10.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Toured to Applied Ratio,It allows the PMC to: - Identify areas of improvement. - Assess the quality of the sales process. - Assess the quality of the touring experience. - Gain insights into best practices.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Toured to Applied Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - This range between the 25th and 75th percentile defines the Benchmark for Multifamily.
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Toured to Applied Ratio,"For example: - There are 8 PMCs onboarded with Hyly (PMC1 PMC2, PMC3, PMC4, PMC5, PMC6, PMC7, and PMC8) with average conversion rates of 15.0%,20.0%,25.0%,30.0%, 35.0%,40.0%,45.0%, and 50.0% respectively for the month of January. - The 25th percentile value for this property distribution is 20.0% - The 75th percentile value is 40.0%. - The benchmark is 20.0% to 40.0% - The performance of PMC2, PMC3, PMC4, PMC5 and PMC6 are satisfactory as they lie within the range. - Performance of PMC1 is not satisfactory (15.0%<benchmark range) - PMC7 and PMC8 are excelling. (45.0% and 50.0% > benchmark range)"
ChatCDP,Conversion Analytics,Metadata,Lede,Toured to Applied Ratio,A yardstick to evaluate the performance of a property relative to your Property Management Company (PMC). Performance of properties lying within this range is satisfactory for your PMC.
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Toured to Applied Ratio,"For example, let’s say the PMC benchmark for toured to applied conversion rate lies between 25.0% to 35.0% Now, Toured to Applied ratio of: - 30.0% is satisfactory for your property. - 40.0% exceeds expectations. - 20.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Toured to Applied Ratio,It allows the property to: - Identify areas of improvement. - Assess the quality of the sales process. - Assess the quality of the touring experience. - Gain insights into best practices.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Toured to Applied Ratio,We calculate this as follows: - Calculate the average conversion rate for all properties within a PMC for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - This range between the 25th and 75th percentile defines the Benchmark for the PMC.
ChatCDP,Conversion Analytics,Metadata,Godeeper.Example,Toured to Applied Ratio,"For example: - There are 8 properties in a PMC (Pr1 Pr2, Pr3, Pr4, Pr5, Pr6, Pr7, and Pr8) with average conversion rates of 15.0%, 20.0%,25.0%,30.0%, 35.0%,40.0%,45.0%, and 50.0% respectively for the month of January. - The 25th percentile value for this property distribution is 20.0% - The 75th percentile value is 40.0%. - The benchmark is 20.0% to 40.0% - The performance of Pr2, Pr3, Pr4, Pr5 and Pr6 are satisfactory as they lie within the range. - Performance of Pr1 is not satisfactory (15.0%<benchmark range) - Pr7 and Pr8 are excelling. (45.0% and 50.0% > benchmark range)"
ChatCDP,Conversion Analytics,Metadata,Lede,Lead to Toured Ratio,A yardstick to evaluate the performance of your Property Management Company (PMC) relative to Multifamily. Performance of your PMC is satisfactory if it lies within this range.
ChatCDP,Conversion Analytics,Metadata,Lede.Example,Lead to Toured Ratio,"For example, let’s say the Multifamily benchmark for lead to toured conversion rate lies between 12.0% to 22.0% Now, Lead to Toured ratio of: - 18.0% is satisfactory for your PMC. - 25.0% exceeds expectations. - 10.0% is not satisfactory."
ChatCDP,Conversion Analytics,Metadata,Why it matters?,Lead to Toured Ratio,It allows the PMC to: - Identify areas of improvement. - Assess the quality of lead sources. - Gain insights into best practices.
ChatCDP,Conversion Analytics,Metadata,Godeeper,Lead to Toured Ratio,We calculate this as follows: - Calculate the average conversion rate for all PMCs onboarded with Hyly for a given time range. - Calculate the 25th and 75th percentile values from this conversion rate distribution. - This range between the 25th and 75th percentile defines the Benchmark for Multifamily.
