instruction,input,output,metric,hierarchy,metadata_column_name,alias,question,data_variant,metric_name_requested,information_requested
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'How do you define the benchmark for Applied to Leased Ratio in this industry?', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'How do you define the benchmark for Applied to Leased Ratio in this industry?', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,Applied to Leased Ratio,How do you define the benchmark for Applied to Leased Ratio in this industry?,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'What does the benchmark for Applied to Leased Ratio represent in multifamily?', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'What does the benchmark for Applied to Leased Ratio represent in multifamily?', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,Applied to Leased Ratio,What does the benchmark for Applied to Leased Ratio represent in multifamily?,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'Describe what the benchmark for Applied to Leased Ratio in this industry is', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'Describe what the benchmark for Applied to Leased Ratio in this industry is', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,Applied to Leased Ratio,Describe what the benchmark for Applied to Leased Ratio in this industry is,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'State the meaning of the benchmark for Applied to Leased Ratio in the multifamily industry', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'State the meaning of the benchmark for Applied to Leased Ratio in the multifamily industry', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,Applied to Leased Ratio,State the meaning of the benchmark for Applied to Leased Ratio in the multifamily industry,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'What is the benchmark for Applied to Leased Ratio in multifamily industry?', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'What is the benchmark for Applied to Leased Ratio in multifamily industry?', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,Applied to Leased Ratio,What is the benchmark for Applied to Leased Ratio in multifamily industry?,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'How do you define the benchmark for A2L % in this industry?', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'How do you define the benchmark for A2L % in this industry?', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,A2L %,How do you define the benchmark for A2L % in this industry?,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'What does the benchmark for A2L % represent in multifamily?', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'What does the benchmark for A2L % represent in multifamily?', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,A2L %,What does the benchmark for A2L % represent in multifamily?,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'Describe what the benchmark for A2L % in this industry is', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'Describe what the benchmark for A2L % in this industry is', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,A2L %,Describe what the benchmark for A2L % in this industry is,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'State the meaning of the benchmark for A2L % in the multifamily industry', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'State the meaning of the benchmark for A2L % in the multifamily industry', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,A2L %,State the meaning of the benchmark for A2L % in the multifamily industry,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
"Given the possible list of metric-name-options and information-need-options, pick exactly one metric-name-option and one or more information-need-options","{'question': 'What is the benchmark for A2L % in multifamily industry?', 'pivots': {'conversionRate': {'metric_name_options': ['lead-to-toured-ratio-benchmark-multifamily', 'lead-to-toured-ratio-benchmark', 'lead-to-toured-ratio-metric', 'toured-to-applied-ratio-benchmark-multifamily', 'toured-to-applied-ratio-benchmark', 'toured-to-applied-ratio-metric', 'applied-to-leased-ratio-benchmark-multifamily', 'applied-to-leased-ratio-benchmark', 'applied-to-leased-ratio-metric']}, 'conversionVelocity': {'metric_name_options': ['lead-to-toured-duration-benchmark-multifamily', 'lead-to-toured-duration-benchmark', 'lead-to-toured-duration-metric', 'toured-to-applied-duration-benchmark-multifamily', 'toured-to-applied-duration-benchmark', 'toured-to-applied-duration-metric', 'applied-to-leased-duration-benchmark-multifamily', 'applied-to-leased-duration-benchmark', 'applied-to-leased-duration-metric']}, 'Dimension_name_options': ['date range', 'propertyName', 'orgName'], 'information_need_options': ['simple-explanation', 'simple-example', 'why-is-it-important', 'calculation-explanation', 'calculation-example']}}","{'question': 'What is the benchmark for A2L % in multifamily industry?', 'metric_name_requested': 'applied-to-leased-ratio-benchmark-multifamily', 'information_requested': ['simple-explanation', 'simple-example']}",Applied to Leased Ratio,Multifamily Level,Lede + Lede.Example,A2L %,What is the benchmark for A2L % in multifamily industry?,Clean,applied-to-leased-ratio-benchmark-multifamily,"['simple-explanation', 'simple-example']"
