instruction,input,output
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Can you give me Applied to Leased Duration for multifamily?'},"{'Question': 'Can you give me Applied to Leased Duration for multifamily?', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'What is the current multifamily benchmark for Applied to Leased Duration ?'},"{'Question': 'What is the current multifamily benchmark for Applied to Leased Duration ?', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Give me the Applied to Leased Duration for multifamily benchmark'},"{'Question': 'Give me the Applied to Leased Duration for multifamily benchmark', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'What is Applied to Leased Duration for my portfolio?'},"{'Question': 'What is Applied to Leased Duration for my portfolio?', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Give me the Applied to Leased Duration for my community.'},"{'Question': 'Give me the Applied to Leased Duration for my community.', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Can you tell me the Applied to Leased Duration for my organization?'},"{'Question': 'Can you tell me the Applied to Leased Duration for my organization?', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Give the definition of Applied to Leased Duration ?'},"{'Question': 'Give the definition of Applied to Leased Duration ?', 'Metric Category Selected': 'property-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Can you tell me the Applied to Leased Duration for my property?'},"{'Question': 'Can you tell me the Applied to Leased Duration for my property?', 'Metric Category Selected': 'property-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'What is Applied to Leased Duration ?'},"{'Question': 'What is Applied to Leased Duration ?', 'Metric Category Selected': 'property-applied-to-leased-duration'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Can you give me Applied to Leased Ratio for multifamily?'},"{'Question': 'Can you give me Applied to Leased Ratio for multifamily?', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-ratio'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'What is the current multifamily benchmark for Applied to Leased Ratio ?'},"{'Question': 'What is the current multifamily benchmark for Applied to Leased Ratio ?', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-ratio'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Give me the Applied to Leased Ratio for multifamily benchmark'},"{'Question': 'Give me the Applied to Leased Ratio for multifamily benchmark', 'Metric Category Selected': 'multifamily-benchmark-for-applied-to-leased-ratio'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'What is Applied to Leased Ratio for my portfolio?'},"{'Question': 'What is Applied to Leased Ratio for my portfolio?', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-ratio'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Give me the Applied to Leased Ratio for my community.'},"{'Question': 'Give me the Applied to Leased Ratio for my community.', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-ratio'}"
"You will be provided with an input question. Your task is to select the pivot option that best suits the question from the provided options .
The pivot options and the reasons for selecting them are provided. Follow these steps:
i. Select the suitable pivot option:
 a. When ratio  or percentage is being asked in the question select conversionRatio as pivot
 b. when duration is being asked in the question select conversionVelocity as pivot
ii. Clearly specify the chosen pivot option.",{'Question': 'Can you tell me the Applied to Leased Ratio for my organization?'},"{'Question': 'Can you tell me the Applied to Leased Ratio for my organization?', 'Metric Category Selected': 'pmc-benchmark-for-applied-to-leased-ratio'}"
